1, none, minecraft:plains, MONSTER, minecraft:spider, 80, 4, 4
2, none, minecraft:plains, MONSTER, minecraft:zombie, 80, 4, 4
3, none, minecraft:plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
4, none, minecraft:plains, MONSTER, minecraft:skeleton, 80, 4, 4
5, none, minecraft:plains, MONSTER, minecraft:creeper, 80, 4, 4
6, none, minecraft:plains, MONSTER, minecraft:slime, 80, 4, 4
7, none, minecraft:plains, MONSTER, minecraft:enderman, 5, 1, 4
8, none, minecraft:plains, MONSTER, minecraft:witch, 5, 1, 1
9, none, minecraft:plains, MONSTER, alexsmobs:centipede_head, 10, 1, 1
10, none, minecraft:plains, MONSTER, quark:stoneling, 80, 1, 1
11, none, minecraft:plains, MONSTER, quark:toretoise, 80, 2, 4
12, none, minecraft:plains, CREATURE, minecraft:sheep, 12, 4, 4
13, none, minecraft:plains, CREATURE, minecraft:chicken, 10, 4, 4
14, none, minecraft:plains, CREATURE, minecraft:cow, 10, 4, 4
15, none, minecraft:plains, CREATURE, minecraft:horse, 10, 2, 6
16, none, minecraft:plains, CREATURE, minecraft:donkey, 10, 1, 3
17, none, minecraft:plains, CREATURE, alexsmobs:raccoon, 10, 2, 4
18, none, minecraft:plains, CREATURE, alexsmobs:crow, 10, 3, 5
19, none, minecraft:plains, CREATURE, alexsmobs:bison, 10, 6, 10
20, none, minecraft:plains, CREATURE, betteranimalsplus:pheasant, 12, 1, 3
21, none, minecraft:plains, CREATURE, betteranimalsplus:songbird, 11, 1, 4
22, none, minecraft:plains, CREATURE, betteranimalsplus:badger, 10, 1, 2
23, none, minecraft:plains, CREATURE, betteranimalsplus:coyote, 10, 1, 6
24, none, minecraft:plains, CREATURE, betteranimalsplus:boar, 10, 1, 4
25, none, minecraft:plains, AMBIENT, minecraft:bat, 10, 8, 8
26, none, minecraft:plains, AMBIENT, alexsmobs:fly, 10, 2, 3
27, none, minecraft:plains, AMBIENT, alexsmobs:cockroach, 10, 5, 5
28, none, minecraft:plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
29, none, minecraft:plains, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
30, none, minecraft:sunflower_plains, MONSTER, minecraft:spider, 80, 4, 4
31, none, minecraft:sunflower_plains, MONSTER, minecraft:zombie, 80, 4, 4
32, none, minecraft:sunflower_plains, MONSTER, minecraft:zombie_villager, 10, 1, 1
33, none, minecraft:sunflower_plains, MONSTER, minecraft:skeleton, 80, 4, 4
34, none, minecraft:sunflower_plains, MONSTER, minecraft:creeper, 80, 4, 4
35, none, minecraft:sunflower_plains, MONSTER, minecraft:slime, 80, 4, 4
36, none, minecraft:sunflower_plains, MONSTER, minecraft:enderman, 5, 1, 4
37, none, minecraft:sunflower_plains, MONSTER, minecraft:witch, 5, 1, 1
38, none, minecraft:sunflower_plains, MONSTER, alexsmobs:centipede_head, 10, 1, 1
39, none, minecraft:sunflower_plains, MONSTER, quark:stoneling, 80, 1, 1
40, none, minecraft:sunflower_plains, MONSTER, quark:toretoise, 80, 2, 4
41, none, minecraft:sunflower_plains, CREATURE, minecraft:sheep, 12, 4, 4
42, none, minecraft:sunflower_plains, CREATURE, minecraft:pig, 10, 4, 4
43, none, minecraft:sunflower_plains, CREATURE, minecraft:chicken, 10, 4, 4
44, none, minecraft:sunflower_plains, CREATURE, minecraft:cow, 10, 4, 4
45, none, minecraft:sunflower_plains, CREATURE, minecraft:horse, 10, 2, 6
46, none, minecraft:sunflower_plains, CREATURE, minecraft:donkey, 10, 1, 3
47, none, minecraft:sunflower_plains, CREATURE, alexsmobs:hummingbird, 19, 7, 7
48, none, minecraft:sunflower_plains, CREATURE, alexsmobs:raccoon, 10, 2, 4
49, none, minecraft:sunflower_plains, CREATURE, alexsmobs:crow, 10, 3, 5
50, none, minecraft:sunflower_plains, CREATURE, alexsmobs:bison, 10, 6, 10
51, none, minecraft:sunflower_plains, CREATURE, betteranimalsplus:pheasant, 12, 1, 3
52, none, minecraft:sunflower_plains, CREATURE, betteranimalsplus:songbird, 11, 1, 4
53, none, minecraft:sunflower_plains, CREATURE, betteranimalsplus:badger, 10, 1, 2
54, none, minecraft:sunflower_plains, CREATURE, betteranimalsplus:coyote, 10, 1, 6
55, none, minecraft:sunflower_plains, CREATURE, betteranimalsplus:boar, 10, 1, 4
56, none, minecraft:sunflower_plains, AMBIENT, minecraft:bat, 10, 8, 8
57, none, minecraft:sunflower_plains, AMBIENT, alexsmobs:fly, 10, 2, 3
58, none, minecraft:sunflower_plains, AMBIENT, alexsmobs:cockroach, 10, 5, 5
59, none, minecraft:sunflower_plains, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
60, none, minecraft:sunflower_plains, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
